prepend,prefix,"match pattern",callerid
,,11N,
,,15XX,
,,19944XXXX,
,,1NXXNXXXXXX,
,,800XXXXXX,
,,NXXNXXXXXX,
,,NXXXXXX,
,,XXX,
,,XXXXXXXXXX,
,,XXXXXXXXXXX,
